PNAME,POS,TEAM,YEAR,TYPE,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Chris Johnson,SG,bos,2014,34,2.4,5.5,43.1,1.1,3.4,32.4,0.9,1,85,1.3,2.1,61,1.22,0.53
Vitor Faverani,C,bos,2014,34,1.8,4.2,43.4,0.3,1.1,31.6,0.8,1.1,70,1.5,3.2,47.4,1.132,0.47
MarShon Brooks,G,bos,2014,34,1.2,3,38.9,0.3,0.5,66.7,1.8,2.3,78.6,0.8,2.5,33.3,1.5,0.44
Gerald Wallace,SF,bos,2014,34,1.6,3.4,47.6,0.2,1,23.3,0.8,1.7,48,1.4,2.4,57.5,1.252,0.51
Phil Pressey,PG,bos,2014,34,1.1,3.2,35.6,0.4,1.3,33.3,0.3,0.6,57.1,0.7,1.9,37.1,0.949,0.42
Keith Bogans,SG,bos,2014,34,0.6,1.2,50,0.6,1.2,50,0.6,0.6,100,0,0,0,2,0.75
Vander Blue,SG,bos,2014,34,1,2,50,0,0.5,0,0,1.5,0,1,1.5,66.7,1,0.5
Chris Babb,SG,bos,2014,34,0.4,1.9,23.1,0.4,1.7,25,0,0,0,0,0.1,0,0.692,0.35
Joel Anthony,C,bos,2014,34,0.4,1.3,33.3,0,0,0,0.1,0.3,25,0.4,1.3,33.3,0.733,0.33
Jeff Green,PF,bos,2015,33,6.5,14.4,44.9,1.6,4.7,34.8,3.8,4.6,82.8,4.8,9.7,49.7,1.274,0.51
Isaiah Thomas,PG,bos,2015,33,5,12.9,38.8,1.9,6.1,31.1,5.1,6.1,83.6,3.1,6.8,45.6,1.318,0.46
Jared Sullinger,C,bos,2015,33,5.7,12.7,44.8,1,3.3,30.6,2.2,2.7,82.7,4.7,9.5,49.6,1.149,0.49
Avery Bradley,PG,bos,2015,33,5.3,12.6,42.2,1.5,4.4,34.7,1,1.1,86.4,3.8,8.2,46.3,1.042,0.48
Jae Crowder,SF,bos,2015,33,4,8.9,44.4,1,3.5,30,1.5,2.2,68.4,2.9,5.5,53.5,1.172,0.5
Tyler Zeller,C,bos,2015,33,4.2,7.6,55.8,0,0,0,1.9,2.3,82.8,4.2,7.6,55.8,1.365,0.56
Tayshaun Prince,SF,bos,2015,33,4,8,50,1,1,100,1,1,100,3,7,42.9,1.25,0.56
Rajon Rondo,PG,bos,2015,33,4.4,10.3,43.1,0.5,1.6,31.8,0.6,2,28.6,3.9,8.7,45.1,0.965,0.45
Marcus Thornton,SG,bos,2015,33,3.3,7.5,44,1.6,3.3,47.7,1.6,1.7,97,1.8,4.3,41.2,1.3,0.54
Brandon Bass,PF,bos,2015,33,3.7,7.7,48.1,0.1,0.3,21.4,2,2.5,80.4,3.6,7.4,49.3,1.231,0.49
Kelly Olynyk,PF,bos,2015,33,3.8,7.8,48.1,0.9,2.4,39.2,1,1.7,61.8,2.8,5.4,52,1.213,0.54
Evan Turner,SG,bos,2015,33,3.7,8.8,42.3,0.3,1.4,21.4,1.1,1.4,83.9,3.4,7.5,46.1,1.008,0.44
Jonas Jerebko,F,bos,2015,33,3.1,6.9,45.4,1.1,2.4,44.1,0.7,1,71.4,2.1,4.5,46,1.165,0.53
Marcus Smart,PG,bos,2015,33,2.2,7.1,31.4,1.1,3.8,29.3,0.8,1.2,69.2,1.1,3.2,34,0.907,0.39
Jameer Nelson,G,bos,2015,33,1.3,6.7,20,0.7,3.3,20,1.3,2.3,57.1,0.7,3.3,20,0.7,0.25
Luigi Datome,SF,bos,2015,33,1.5,3.5,42.9,0.9,1.8,50,0,0,0,0.6,1.7,35.3,1.114,0.56
Phil Pressey,PG,bos,2015,33,1.4,3.3,43,0.3,1.1,26.7,0.6,1.1,53.1,1.1,2.3,50.8,1.129,0.47
James Young,G,bos,2015,33,1.2,3.4,36.2,0.6,2.3,28.2,0.3,0.6,50,0.6,1.1,52.6,1,0.46
Brandan Wright,F,bos,2015,33,1.3,1.8,71.4,0,0,0,0.3,0.5,50,1.3,1.8,71.4,1.571,0.71
Dwight Powell,C,bos,2015,33,1,1.3,75,0,0,0,0,0,0,1,1.3,75,1.5,0.75
Gerald Wallace,SF,bos,2015,33,0.2,0.8,23.1,0,0.1,0,0.2,0.3,75,0.2,0.8,25,0.692,0.23
Shavlik Randolph,PF,bos,2015,33,0,0.5,0,0,0,0,0.5,1,50,0,0.5,0,1,0
Isaiah Thomas,PG,bos,2015,34,6.1,14.1,43.2,2.6,7.1,37.2,6.1,6.9,88.2,3.5,7,49.4,1.484,0.53
Jeff Green,PF,bos,2015,34,5.9,14.4,41.3,1.1,4.6,24.6,3.5,4.1,86,4.8,9.7,49.3,1.149,0.45
Avery Bradley,PG,bos,2015,34,6,13.8,43.4,1.7,4.8,35.8,1.1,1.5,73.2,4.3,9.1,47.5,1.072,0.5
Jared Sullinger,C,bos,2015,34,5,11.6,42.9,0.8,3.1,25.6,1,1.7,60.4,4.2,8.6,49.2,1.015,0.46
Brandon Bass,PF,bos,2015,34,4.7,9,52.3,0.1,0.4,33.3,2.1,2.7,77.7,4.5,8.5,53.3,1.3,0.53
Kelly Olynyk,PF,bos,2015,34,4.1,8.7,47,1,3.1,31.3,1.9,2.6,72.8,3.1,5.6,55.7,1.27,0.53
Evan Turner,SG,bos,2015,34,4.1,9.4,43.5,0.5,1.5,33.3,1.4,2.1,69.4,3.6,7.8,45.5,1.078,0.46
Tyler Zeller,C,bos,2015,34,4.1,7.5,54,0,0,0,1.9,2.3,81.7,4.1,7.5,54,1.327,0.54
Marcus Smart,PG,bos,2015,34,3,7.2,41.4,1.6,4.3,36.9,1.6,2.5,62.5,1.4,2.9,48,1.267,0.52
Jae Crowder,SF,bos,2015,34,3,7.6,39.2,0.7,2.6,26.3,1.9,2.4,82.2,2.3,5.1,45.9,1.127,0.44
Marcus Thornton,SG,bos,2015,34,3.2,8.2,39.4,1.1,3.1,35.6,0.5,0.9,55.6,2.1,5.1,41.7,0.987,0.46
Tayshaun Prince,SF,bos,2015,34,3.6,6.1,58.1,0.4,0.9,50,0.4,0.6,75,3.1,5.3,59.5,1.302,0.62
Luigi Datome,SF,bos,2015,34,2.9,5.3,54.8,1,2.3,44.4,0.1,0.1,100,1.9,3,62.5,1.31,0.64
Jonas Jerebko,F,bos,2015,34,2.3,5.6,40.5,0.7,2,36.7,1,1.1,93.8,1.5,3.6,42.6,1.119,0.47
Rajon Rondo,PG,bos,2015,34,2.4,7,33.9,0.1,1.3,10,0.5,1,50,2.3,5.8,39.1,0.768,0.35
Jameer Nelson,G,bos,2015,34,1.7,7,23.8,1,5,20,0.7,0.7,100,0.7,2,33.3,0.714,0.31
Brandan Wright,F,bos,2015,34,1.8,3.5,50,0,0,0,0.3,0.5,50,1.8,3.5,50,1.071,0.5
James Young,G,bos,2015,34,1.1,3.1,34.1,0.4,1.9,22.2,0.8,1.4,57.9,0.6,1.2,52.9,1.068,0.41
Phil Pressey,PG,bos,2015,34,1.1,3.7,29.6,0.4,1.6,22.9,0.7,0.8,94.1,0.7,2.1,34.8,0.889,0.35
Shavlik Randolph,PF,bos,2015,34,1,3,33.3,0,0.3,0,0,0,0,1,2.7,37.5,0.667,0.33
Gerald Wallace,SF,bos,2015,34,0.7,1.3,52.4,0.1,0.1,50,0.2,0.7,27.3,0.6,1.2,52.6,1.238,0.55
Dwight Powell,C,bos,2015,34,0.5,0.5,100,0,0,0,0.5,1,50,0.5,0.5,100,3,1
Isaiah Thomas,PG,bos,2016,33,7.2,16.7,43.3,1.9,5.3,35.2,5.6,6.7,83.6,5.4,11.4,47.1,1.313,0.49
Avery Bradley,PG,bos,2016,33,5.8,13.1,44.8,1.6,4.8,32.8,1.1,1.5,74.1,4.3,8.2,51.8,1.103,0.51
Jae Crowder,SF,bos,2016,33,4.8,11.1,43.6,1.7,5,34.2,2.5,3.1,81.2,3.1,6.1,51.3,1.251,0.51
Kelly Olynyk,PF,bos,2016,33,3.9,8.6,45.9,1.4,3.2,45.2,1.7,2.2,74.3,2.5,5.4,46.4,1.279,0.54
Jared Sullinger,C,bos,2016,33,4.7,10.3,45.9,0.4,1.3,32,1.1,1.8,61.6,4.3,9,47.8,1.066,0.48
Evan Turner,SG,bos,2016,33,4.4,9.5,45.9,0.3,1.1,23.8,1.8,2.1,85.9,4.1,8.4,48.7,1.137,0.47
David Lee,PF,bos,2016,33,3.1,6.6,46.4,0,0.1,0,1.5,1.9,78.8,3.1,6.5,46.8,1.161,0.46
Marcus Smart,PG,bos,2016,33,2.3,8.1,28.9,0.8,3.8,21.8,2.1,2.6,79.3,1.5,4.3,35.2,0.94,0.34
Amir Johnson,F,bos,2016,33,3.3,5.8,56.4,0.1,0.5,15.8,0.8,1.5,54.4,3.2,5.3,60.2,1.28,0.57
Tyler Zeller,C,bos,2016,33,2.3,4.8,48,0,0,0,1.8,2,91.8,2.3,4.8,48,1.338,0.48
Jonas Jerebko,F,bos,2016,33,1.3,3.5,37.4,0.6,1.4,41.8,1,1.3,77.4,0.7,2.1,34.5,1.209,0.46
RJ Hunter,G,bos,2016,33,0.9,2.8,32.7,0.5,1.6,31.3,0.1,0.2,66.7,0.4,1.2,34.8,0.873,0.42
Terry Rozier,PG,bos,2016,33,0.7,3.2,21.8,0.2,0.9,25,0.2,0.3,80,0.5,2.3,20.5,0.582,0.25
Jordan Mickey,F,bos,2016,33,0.6,1.1,50,0,0,0,0.6,0.7,83.3,0.6,1.1,50,1.5,0.5
James Young,G,bos,2016,33,0.4,1.7,25,0.3,1.1,23.1,0,0,0,0.2,0.6,28.6,0.65,0.33
Coty Clarke,PF,bos,2016,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Thomas,PG,bos,2016,34,7.2,17,42.2,2.2,6,36.6,6,6.6,90.7,5,11,45.3,1.325,0.49
Avery Bradley,PG,bos,2016,34,6.2,13.8,44.7,2.3,5.9,38.8,1.4,1.7,81.5,3.9,7.9,49.2,1.163,0.53
Jae Crowder,SF,bos,2016,34,5,11.2,45,1.6,4.9,32.9,2.9,3.5,82.8,3.4,6.2,54.6,1.304,0.52
Marcus Smart,PG,bos,2016,34,3.8,9.4,40.7,1.2,4.2,29.1,2.1,2.8,75.9,2.6,5.2,50,1.171,0.47
Evan Turner,SG,bos,2016,34,4.1,9.1,45.2,0.2,1,24.4,1.8,2.3,79.8,3.9,8.1,47.7,1.131,0.47
Jared Sullinger,C,bos,2016,34,4,9.7,41.2,0.3,1.3,24.5,1.4,2.1,65.9,3.7,8.4,43.7,1.003,0.43
Kelly Olynyk,PF,bos,2016,34,3.4,7.6,45.1,1.1,2.9,35.8,1.1,1.5,75.9,2.4,4.6,50.9,1.19,0.52
Amir Johnson,F,bos,2016,34,3.1,5,60.7,0.2,0.6,29.2,1,1.6,59.4,2.9,4.4,65,1.438,0.62
David Lee,PF,bos,2016,34,2.7,6.2,43.8,0,0,0,1.1,1.4,77.8,2.7,6.2,43.8,1.05,0.44
Tyler Zeller,C,bos,2016,34,2.3,4.9,47.2,0,0,0,1.1,1.6,68.1,2.3,4.9,47.2,1.169,0.47
Jonas Jerebko,F,bos,2016,34,1.7,3.9,44.9,0.5,1.4,37.7,0.5,0.7,80,1.2,2.5,48.9,1.17,0.52
RJ Hunter,G,bos,2016,34,1.1,2.7,41.9,0.6,1.9,29,0.3,0.3,100,0.6,0.8,75,1.14,0.52
Coty Clarke,PF,bos,2016,34,1,2,50,1,1,100,0,0,0,0,1,0,1.5,0.75
Terry Rozier,PG,bos,2016,34,0.8,2.3,33.3,0.1,0.5,18.2,0.2,0.2,80,0.7,1.8,37.5,0.784,0.35
James Young,G,bos,2016,34,0.4,0.9,37.5,0.2,0.8,23.1,0.1,0.2,25,0.2,0.2,100,1,0.47
Jordan Mickey,F,bos,2016,34,0.4,1.7,25,0,0,0,0,0.6,0,0.4,1.7,25,0.5,0.25
Isaiah Thomas,PG,bos,2017,33,9.5,19.8,47.8,3.3,8.5,39.1,7.6,8.3,91.5,6.1,11.3,54.4,1.509,0.56
Avery Bradley,PG,bos,2017,33,5.8,13.3,43.6,2.1,5.1,42.3,0.9,1.3,69.4,3.7,8.3,44.4,1.103,0.52
Al Horford,PF,bos,2017,33,5.5,11.6,47.8,1.4,3.7,38.2,1.9,2.4,77.6,4.1,7.9,52.4,1.241,0.54
Jae Crowder,SF,bos,2017,33,4.8,10.6,45.8,2.3,5.8,39.4,2.3,2.8,83.3,2.6,4.8,53.4,1.348,0.57
Marcus Smart,PG,bos,2017,33,3.1,9.1,34.2,1.3,4.3,31.2,2.3,2.7,83.3,1.8,4.9,36.9,1.077,0.42
Kelly Olynyk,PF,bos,2017,33,3.4,6.3,53,0.9,2.1,41,1,1.4,73.1,2.5,4.2,59,1.359,0.6
Amir Johnson,F,bos,2017,33,2.8,4.8,59.2,0.4,0.8,46.9,1,1.4,66.7,2.5,4,61.6,1.461,0.63
Jaylen Brown,SG,bos,2017,33,2.4,5.7,42.3,0.6,1.9,28.9,1.1,1.6,67.2,1.8,3.7,49.3,1.131,0.47
Gerald Green,SG,bos,2017,33,1.9,4.7,41.1,0.8,2.2,35.8,0.8,1,87,1.1,2.5,45.8,1.17,0.5
Terry Rozier,PG,bos,2017,33,1.9,5.2,37.2,0.7,2.1,35.1,0.6,0.8,79.3,1.2,3.1,38.6,1.005,0.44
Tyler Zeller,C,bos,2017,33,1.8,3.8,47.3,0,0,0,0.6,1,58.3,1.8,3.8,47.3,1.099,0.47
Jonas Jerebko,F,bos,2017,33,1.6,3.2,48.4,0.6,1.5,37.5,0.3,0.5,65,1,1.7,57.6,1.246,0.57
Demetrius Jackson,G,bos,2017,33,1,1.5,66.7,0.5,0.5,100,1.5,2,75,0.5,1,50,2.667,0.83
Jordan Mickey,F,bos,2017,33,1,1.9,52.6,0,0.1,0,0.5,0.8,62.5,1,1.8,55.6,1.316,0.53
James Young,G,bos,2017,33,0.5,1.5,36.8,0.2,0.8,27.3,0.3,0.5,66.7,0.3,0.6,50,1.105,0.45
Isaiah Thomas,PG,bos,2017,34,8.4,19,44.5,3.1,8.5,36.6,8,8.8,90.3,5.3,10.5,50.9,1.474,0.53
Avery Bradley,PG,bos,2017,34,7.2,14.8,48.7,1.8,5,35.7,1.5,2,75.4,5.4,9.8,55.3,1.198,0.55
Al Horford,PF,bos,2017,34,5.6,12,46.8,1.1,3.4,32.4,1.3,1.5,84,4.5,8.6,52.5,1.134,0.51
Jae Crowder,SF,bos,2017,34,4.4,9.4,46.8,2.1,5.2,40.3,2.6,3.3,79.1,2.3,4.2,54.7,1.435,0.58
Marcus Smart,PG,bos,2017,34,3.7,9.8,37.5,1.1,4.2,25.3,2.9,3.6,79.6,2.6,5.7,46.4,1.151,0.43
Kelly Olynyk,PF,bos,2017,34,3.6,7.2,49.6,0.9,3,31.6,1.4,1.9,73.2,2.6,4.2,62.5,1.314,0.56
Jaylen Brown,SG,bos,2017,34,2.5,5.2,48.8,0.6,1.5,40.7,1.1,1.6,69.8,1.9,3.6,52.1,1.313,0.55
Amir Johnson,F,bos,2017,34,2.5,4.5,55.9,0.3,0.9,35.3,0.7,1.1,67.4,2.2,3.6,60.7,1.346,0.59
Terry Rozier,PG,bos,2017,34,2.2,5.9,36.4,0.8,2.8,29.4,0.8,1,75.7,1.4,3.2,42.4,0.991,0.43
Gerald Green,SG,bos,2017,34,2.1,5.2,40.8,0.9,2.5,34.5,0.6,0.8,72.2,1.3,2.7,46.8,1.092,0.49
Jonas Jerebko,F,bos,2017,34,1.4,3.5,39.3,0.6,1.9,32.4,0.3,0.4,76.5,0.8,1.7,47,1.05,0.48
James Young,G,bos,2017,34,1.1,2.4,46.2,0.6,1.5,37.5,0.1,0.2,66.7,0.6,0.9,60,1.205,0.58
Tyler Zeller,C,bos,2017,34,1.3,2.5,52.2,0,0,0,0.3,0.6,53.3,1.3,2.4,53,1.164,0.52
Jordan Mickey,F,bos,2017,34,0.3,1,33.3,0,0,0,0.2,0.4,50,0.3,1,33.3,0.867,0.33
Demetrius Jackson,G,bos,2017,34,0.3,0.3,100,0,0,0,0,0.7,0,0.3,0.3,100,2,1
Kyrie Irving,PG,bos,2018,33,8.4,17.5,48.1,2.5,6.4,38.5,4.3,4.7,90.8,5.9,11.1,53.6,1.347,0.55
Jaylen Brown,SG,bos,2018,33,5.3,11.7,45.3,1.8,4.7,39.3,2.1,3,67.9,3.5,7,49.4,1.24,0.53
Jayson Tatum,PF,bos,2018,33,5,10.4,48,1.3,2.8,45.5,2.4,3.1,79,3.7,7.5,49,1.317,0.54
Marcus Morris Sr.,SF,bos,2018,33,4.9,11.2,44,1.5,4.2,36.3,2,2.7,74.3,3.4,7,48.7,1.199,0.51
Al Horford,PF,bos,2018,33,5.2,9.9,52.4,1.2,2.8,43.2,1.1,1.6,73.6,4,7.1,56,1.284,0.58
Terry Rozier,PG,bos,2018,33,4.3,10.5,40.8,2,5.2,38.2,1.4,2,73.1,2.3,5.3,43.4,1.141,0.5
Greg Monroe,C,bos,2018,33,4.5,7.4,61.7,0,0,0,1.9,2.2,87.5,4.5,7.4,61.7,1.494,0.62
Marcus Smart,PG,bos,2018,33,3.5,9.8,35.9,1.5,4.9,31.4,1.4,2.1,63.3,2,4.9,40.4,1.015,0.44
Jonathan Gibson,G,bos,2018,33,4,7,57.1,1.7,3.7,45.5,0,0,0,2.3,3.3,70,1.381,0.69
Aron Baynes,C,bos,2018,33,2.8,5.9,47.3,0,0.2,20,0.8,1.1,75.6,2.8,5.7,48.5,1.095,0.48
Daniel Theis,C,bos,2018,33,2.2,3.9,55.5,0.2,0.8,25,1.3,1.5,86.3,1.9,3,64,1.508,0.58
Jabari Bird,G,bos,2018,33,2.2,3.5,61.9,0.3,0.7,50,0.5,1.3,37.5,1.8,2.8,64.7,1.476,0.67
Shane Larkin,G,bos,2018,33,1.7,4.1,40.8,0.6,1.7,35.7,0.7,0.8,85.7,1.1,2.4,44.3,1.136,0.48
Abdel Nader,SF,bos,2018,33,1.2,3.5,34.1,0.5,1.5,32.5,0.5,0.8,60,0.7,2,35.3,0.956,0.41
Guerschon Yabusele,F,bos,2018,33,1.1,2.4,46.3,0.5,1.4,34.8,0.5,0.7,75,0.6,1.1,61.1,1.341,0.56
Semi Ojeleye,PF,bos,2018,33,1,3.2,31.7,0.6,2.2,26.5,0.5,0.8,64.3,0.4,1,43.2,0.967,0.41
Kadeem Allen,G,bos,2018,33,0.2,1,22.2,0,0.6,0,0.4,0.4,100,0.2,0.4,50,0.889,0.22
Xavier Silas,G,bos,2018,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrie Irving,PG,bos,2018,34,9.4,18.8,50.1,3.1,7.2,42.8,3.5,4,86.7,6.3,11.6,54.6,1.35,0.58
Jaylen Brown,SG,bos,2018,34,5.4,11.3,47.6,1.6,4.1,39.9,2.2,3.6,61.4,3.7,7.2,52,1.294,0.55
Jayson Tatum,PF,bos,2018,34,5,10.5,47.1,1.3,3.2,41.7,2.9,3.4,85.6,3.6,7.3,49.5,1.346,0.53
Marcus Morris Sr.,SF,bos,2018,34,4.8,11.4,41.7,1.7,4.5,37.2,2.6,3,86.3,3.1,7,44.7,1.204,0.49
Al Horford,PF,bos,2018,34,5,10.9,46,1.5,3.4,42.7,1.4,1.8,82.1,3.6,7.5,47.5,1.188,0.53
Terry Rozier,PG,bos,2018,34,3.6,9.5,38.1,1.9,4.9,37.9,1.5,1.8,81.7,1.8,4.7,38.2,1.108,0.48
Marcus Smart,PG,bos,2018,34,3.5,9.3,37.6,1.2,4.3,28.6,2.3,2.8,80.8,2.3,5,45.4,1.128,0.44
Greg Monroe,C,bos,2018,34,3.7,7.8,47,0,0,0,2.3,3,75.6,3.7,7.8,47,1.231,0.47
Aron Baynes,C,bos,2018,34,2.4,5.1,46.8,0,0.3,9.1,0.6,0.8,75.8,2.4,4.8,49,1.064,0.47
Jonathan Gibson,G,bos,2018,34,2,2,100,1,1,100,0,0,0,1,1,100,2.5,1.25
Daniel Theis,C,bos,2018,34,1.8,3.5,52.4,0.4,1,36.7,0.6,1,56.7,1.5,2.5,58.7,1.314,0.58
Shane Larkin,G,bos,2018,34,1.4,4,36.2,0.6,1.5,36.4,0.5,0.6,87.5,0.9,2.5,36.1,0.983,0.43
Abdel Nader,SF,bos,2018,34,0.9,2.6,32.8,0.5,1.1,40,0.5,0.9,57.9,0.4,1.5,27.3,1.017,0.41
Semi Ojeleye,PF,bos,2018,34,0.8,1.9,39.7,0.5,1.2,42.9,0.2,0.4,53.8,0.3,0.7,34.6,1.162,0.53
Gordon Hayward,SF,bos,2018,34,1,2,50,0,1,0,0,0,0,1,1,100,1,0.5
Guerschon Yabusele,F,bos,2018,34,0.4,1.3,35,0.3,0.9,28.6,0.4,0.6,60,0.2,0.4,50,1.2,0.45
Kadeem Allen,G,bos,2018,34,0.4,1.4,30.8,0,0.7,0,0.3,0.6,60,0.4,0.8,57.1,0.846,0.31
Jabari Bird,G,bos,2018,34,0.3,0.7,40,0.1,0.4,33.3,0.4,0.7,60,0.1,0.3,50,1.6,0.5
Xavier Silas,G,bos,2018,34,0,3,0,0,2,0,0,0,0,0,1,0,0,0
Jarell Eddie,F,bos,2018,34,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
Kyrie Irving,PG,bos,2019,33,9.4,18.6,50.7,2.7,6.3,43.2,3.2,3.6,87.1,6.7,12.4,54.5,1.33,0.58
Jayson Tatum,PF,bos,2019,33,5.7,12.9,44.2,1.5,4.1,35.4,2.3,2.8,81.8,4.3,8.8,48.3,1.171,0.5
Al Horford,PF,bos,2019,33,5.9,10.4,56.9,1,2.8,37.2,1.4,1.6,85.2,4.9,7.7,64,1.366,0.62
Marcus Morris Sr.,SF,bos,2019,33,4.8,10.8,44.7,1.8,5.2,35.2,1.9,2.3,82.6,3,5.5,53.7,1.244,0.53
Jaylen Brown,SG,bos,2019,33,5.1,11,46,1.2,3.9,32,1.7,2.6,67.3,3.8,7.1,53.7,1.192,0.52
Gordon Hayward,SF,bos,2019,33,3.9,8.6,45.5,1,2.9,33.9,2.3,2.6,85.4,2.9,5.7,51.6,1.289,0.51
Marcus Smart,PG,bos,2019,33,3.1,7.2,43.4,1.7,4.7,37.2,0.9,1.1,80.4,1.4,2.6,54.7,1.232,0.55
Terry Rozier,PG,bos,2019,33,3.1,8.1,38.6,1.3,4,32,1.1,1.4,75.9,1.8,4.1,45.2,1.065,0.47
Daniel Theis,C,bos,2019,33,2.6,4.6,55.6,0.5,1.3,39.5,0.9,1.2,75.6,2.1,3.3,61.8,1.425,0.61
Aron Baynes,C,bos,2019,33,2.2,4.9,44.1,0.5,1.4,36.1,1,1.2,87.1,1.7,3.5,47.3,1.197,0.49
Greg Monroe,C,bos,2019,33,2,3,66.7,0,0,0,0,0,0,2,3,66.7,1.333,0.67
Semi Ojeleye,PF,bos,2019,33,1.5,2.9,50.7,0.6,1.6,34.1,0.5,0.7,70.6,0.9,1.3,71.9,1.37,0.6
Brad Wanamaker,PG,bos,2019,33,1.2,2.4,47.9,0.6,1,60,0.2,0.3,80,0.6,1.4,39.3,1.292,0.6
Robert Williams III,C,bos,2019,33,1.2,1.6,76,0,0,0,0.3,0.5,62.5,1.2,1.6,76,1.72,0.76
Guerschon Yabusele,F,bos,2019,33,0.8,1.8,43.8,0.2,0.7,25,0.6,0.8,78.6,0.6,1.1,55,1.313,0.48
PJ Dozier,PG,bos,2019,33,0.6,1.4,42.9,0.2,0.4,50,0,0,0,0.4,1,40,1,0.5
Kyrie Irving,PG,bos,2019,34,8.6,18.4,46.5,2.5,6.7,37.1,3.2,3.7,87.6,6.1,11.7,51.9,1.24,0.53
RJ Hunter,G,bos,2019,34,6,13,46.2,4,10,40,1,2,50,2,3,66.7,1.308,0.62
Jayson Tatum,PF,bos,2019,34,6.1,13.3,45.8,1.5,3.8,39.5,2.7,3,89,4.6,9.6,48.3,1.229,0.51
Marcus Morris Sr.,SF,bos,2019,34,5.2,11.7,44.6,2.1,5.2,39.8,2,2.3,86.2,3.2,6.6,48.4,1.235,0.53
Jaylen Brown,SG,bos,2019,34,4.9,10.4,46.9,1.3,3.6,37.2,1.9,2.9,64.4,3.6,6.8,52,1.245,0.53
Al Horford,PF,bos,2019,34,5.4,10.8,50.3,1.1,3.2,34.9,0.9,1.2,78,4.3,7.6,56.8,1.196,0.55
PJ Dozier,PG,bos,2019,34,5,14,35.7,1,6,16.7,1,2,50,4,8,50,0.857,0.39
Gordon Hayward,SF,bos,2019,34,4.3,9.1,47.8,1.2,3.5,32.8,2.1,2.5,81,3.2,5.5,57.4,1.311,0.54
Terry Rozier,PG,bos,2019,34,3.4,8.7,38.8,1.7,4.5,38,0.8,1,82.1,1.7,4.2,39.7,1.061,0.49
Marcus Smart,PG,bos,2019,34,2.8,6.9,40.7,1.4,4,35.5,1.7,2.1,80.7,1.4,2.9,47.8,1.267,0.51
Aron Baynes,C,bos,2019,34,2,3.8,51,0.3,1,32,1,1.2,83.9,1.6,2.8,57.7,1.375,0.55
Brad Wanamaker,PG,bos,2019,34,1.7,3.6,47.4,0.3,1.2,21.1,1.3,1.4,87,1.4,2.4,60.5,1.368,0.51
Daniel Theis,C,bos,2019,34,1.8,3.4,54,0.3,0.7,37.5,0.8,1.1,71.4,1.6,2.7,58.4,1.381,0.58
Semi Ojeleye,PF,bos,2019,34,1,2.7,35.3,0.5,1.5,29.2,0.4,0.7,54.5,0.5,1.2,43.2,1.012,0.44
Robert Williams III,C,bos,2019,34,1.1,1.6,65.4,0,0,0,0.3,0.4,57.1,1.1,1.6,65.4,1.462,0.65
Guerschon Yabusele,F,bos,2019,34,0.9,2,46.7,0.3,0.7,37.5,0.2,0.3,50,0.7,1.3,51.7,1.156,0.53
Greg Monroe,C,bos,2019,34,1,2,50,0,0,0,0,0,0,1,2,50,1,0.5
Jayson Tatum,PF,bos,2020,33,8.4,19,43.9,3,7.3,41.3,4.2,5.1,81.7,5.4,11.8,45.6,1.256,0.52
Jaylen Brown,SG,bos,2020,33,8,16,50,2.2,5.8,38.2,3.6,5,72.4,5.8,10.2,56.7,1.363,0.57
Kemba Walker,PG,bos,2020,33,6.3,15,42.2,3.1,8.2,37.6,3.7,4.2,88,3.3,6.8,47.9,1.296,0.53
Gordon Hayward,SF,bos,2020,33,6.6,13.8,47.5,1.9,4.3,44.4,2.3,2.6,89.1,4.6,9.5,48.9,1.255,0.54
Marcus Smart,PG,bos,2020,33,4.9,11.6,42.3,2.7,7,38.3,2,2.4,85.1,2.2,4.6,48.4,1.253,0.54
Enes Kanter,C,bos,2020,33,3.9,6.3,62.2,0,0.2,20,1.4,1.9,71.9,3.9,6.1,63.4,1.468,0.63
Daniel Theis,C,bos,2020,33,3.7,6.2,59.9,0.5,1.4,36.6,1.1,1.5,75.6,3.2,4.9,66.4,1.46,0.64
Brad Wanamaker,PG,bos,2020,33,2.1,4.9,42.6,0.4,1.4,28.6,1.6,1.8,92.2,1.7,3.5,48,1.267,0.47
Robert Williams III,C,bos,2020,33,2.4,3.2,73.8,0,0,0,0.8,1.2,73.3,2.4,3.2,73.8,1.738,0.74
Semi Ojeleye,PF,bos,2020,33,1.2,3.2,38.2,0.7,2,35.8,0.7,0.7,96,0.5,1.3,41.9,1.2,0.49
Grant Williams,PF,bos,2020,33,1.4,3.3,43.2,0.4,1.5,26.9,0.6,0.8,78.6,1,1.7,57.6,1.189,0.5
Javonte Green,SG,bos,2020,33,1.4,2.9,48.1,0.3,0.7,35,0.8,1.1,73.3,1.1,2.1,52.6,1.338,0.53
Carsen Edwards,PG,bos,2020,33,1.4,3.7,36.6,0.8,2.2,35.7,0.3,0.5,50,0.6,1.5,37.9,1.014,0.47
